series_id	status	title	reason
2616	ambiguous	Fruits Basket: Another	Spark slug is already mapped to series_id=829.
2620	ambiguous	Diamond no Ace Act II	Spark slug is already mapped to series_id=2048.
2631	not_found	Live or Not	Candidates existed, but none reached the safe match threshold.
2657	ambiguous	unOrdinary	Multiple or borderline candidates; no mapping was guessed.
2674	not_found	Senpai, Sore Hitokuchi Kudasai!	SparkManga search returned no usable /manga/ candidate.
2678	not_found	Conan and the Demons of Khitai	SparkManga search returned no usable /manga/ candidate.
2682	ambiguous	Street Fighter - Comic	Spark slug is already mapped to series_id=2204.
2688	ambiguous	God of War	Multiple or borderline candidates; no mapping was guessed.
2697	ambiguous	Devil	Multiple or borderline candidates; no mapping was guessed.
2702	not_found	Futagami☆Double	SparkManga search returned no usable /manga/ candidate.
2739	not_found	Re:Zero kara Hajimeru Isekai Seikatsu: Dai-1 Shou – Outo no Ichinichi-hen	SparkManga search returned no usable /manga/ candidate.
2749	ambiguous	Nuan Nuan Wu	Multiple or borderline candidates; no mapping was guessed.
2774	not_found	إرشادات إسلامية	SparkManga search returned no usable /manga/ candidate.
2793	not_found	Epic of Gilgamesh	SparkManga search returned no usable /manga/ candidate.
2799	not_found	Yokokuhan	SparkManga search returned no usable /manga/ candidate.
2801	not_found	Brothers Conflict feat. Natsume	SparkManga search returned no usable /manga/ candidate.
2814	not_found	Biohazard - Heavenly Island	SparkManga search returned no usable /manga/ candidate.
2828	not_found	Hana o Meshimase	SparkManga search returned no usable /manga/ candidate.
2829	not_found	مجلة Desarts	SparkManga search returned no usable /manga/ candidate.
2831	not_found	Kuchibiru ni Kimi no Iro	SparkManga search returned no usable /manga/ candidate.
2833	not_found	Ghosts Among the Wild Flowers	SparkManga search returned no usable /manga/ candidate.
2834	not_found	Alice Royale	SparkManga search returned no usable /manga/ candidate.
2835	not_found	Kuro Ihon	SparkManga search returned no usable /manga/ candidate.
2836	not_found	Cat and Dog	Candidates existed, but none reached the safe match threshold.
